Pixel 	Energy 	
489.9986 	1106.9093 	
492.00935 	1089.3497 	
494.00697 	1071.574 	
496.00593 	1054.1638 	
498.00227 	1036.9071 	
500.00144 	1019.467 	
502.00523 	1002.059 	
504.00391 	985.2713 	
506.00688 	968.4188 	
508.00818 	951.53427 	
510.0056 	934.94317 	
512.00284 	918.34129 	
514.00776 	901.63296 	
516.03856 	885.05024 	
518.0059 	868.84314 	
520.00269 	852.51278 	
522.01494 	836.0906 	
524.00524 	820.35929 	
526.00868 	804.35823 	
528.00417 	789 	
530.00419 	773 	
532.0022 	757 	
534.00667 	742 	
536.011 	726 	
538.01284 	710 	
540.03855 	695 	
