Energy 	Pixel 	
999.97811 	661.41797 	
1002.0124 	655.29861 	
1004.009 	649.5449 	
1006.0212 	643.85645 	
1008.0184 	637.98393 	
1010.0157 	632.24631 	
1012.0132 	626.57131 	
1014.0186 	620.34807 	
1016.0241 	614.48371 	
1018.0139 	608.90283 	
1020.0115 	603.28191 	
1022.0091 	597.60923 	
1024.0065 	592.07337 	
1026.0037 	586.30554 	
1028.0168 	580.90864 	
1030.0136 	575.46285 	
1032.0019 	569.61232 	
1034.0224 	564.06962 	
1035.9936 	558.69817 	
1038.0134 	553.23376 	
1040.0163 	547.80852 	
1042.0022 	542.37496 	
1044.0123 	536.75552 	
1046.0136 	531.40584 	
1048.0225 	526.047 	
1050.014 	520.62966 	
1052.0047 	515.02138 	
1054.0113 	509.52641 	
1056.0342 	504.24867 	
1058.0137 	498.95034 	
1060.0605 	493.4046 	
