pixel 	Counts (time normalized) 	
0 	38817.346 	
1 	38822.731 	
2 	38826.192 	
3 	38813.769 	
4 	38815.808 	
5 	38813.577 	
6 	38814.846 	
7 	38809.077 	
8 	38821.115 	
9 	38818.731 	
10 	38800.923 	
11 	38815.5 	
12 	38825.308 	
13 	38820.731 	
14 	38803.308 	
15 	38813.769 	
16 	38822.231 	
17 	38817.769 	
18 	38828.308 	
19 	38811.423 	
20 	38823.077 	
21 	38818.423 	
22 	38812.115 	
23 	38822.462 	
24 	38796.577 	
25 	38820.308 	
26 	38804.846 	
27 	38814.346 	
28 	38808.346 	
29 	38822.192 	
30 	38809.615 	
31 	38814.192 	
32 	38810.769 	
33 	38828.962 	
34 	38812.654 	
35 	38807.692 	
36 	38804.654 	
37 	38823.308 	
38 	38827.615 	
39 	38811.5 	
40 	38816.308 	
41 	38801.577 	
42 	38802.346 	
43 	38805.923 	
44 	38798.038 	
45 	38805.731 	
46 	38792.462 	
47 	38806.346 	
48 	38808 	
49 	38818.731 	
50 	38820.154 	
51 	38835.846 	
52 	38854.538 	
53 	38798.192 	
54 	38811.423 	
55 	38794.115 	
56 	38808.154 	
57 	38797.923 	
58 	38800.385 	
59 	38802.385 	
60 	38798.077 	
61 	38796.769 	
62 	38806.731 	
63 	38817.462 	
64 	38794.269 	
65 	38784.346 	
66 	38789.615 	
67 	38792.385 	
68 	38809.038 	
69 	38805.231 	
70 	38798.115 	
71 	38826.192 	
72 	38836.192 	
73 	38817.846 	
74 	38801.654 	
75 	38804.192 	
76 	38810.385 	
77 	38797.346 	
78 	38783.923 	
79 	38777.885 	
80 	38803.769 	
81 	38797.577 	
82 	38790.423 	
83 	38786.731 	
84 	38780.231 	
85 	38769.692 	
86 	38771.846 	
87 	38776.885 	
88 	38800.846 	
89 	38784.923 	
90 	38785.154 	
91 	38789.154 	
92 	38783.885 	
93 	38772.269 	
94 	38783.192 	
95 	38788.577 	
96 	38772.308 	
97 	38762.5 	
98 	38783.769 	
99 	38778.462 	
100 	38803.308 	
101 	38787.154 	
102 	38769.346 	
103 	38785.231 	
104 	38775.731 	
105 	38771.769 	
106 	38775.385 	
107 	38770.231 	
108 	38776.5 	
109 	38778.923 	
110 	38747.923 	
111 	38764.077 	
112 	38761.346 	
113 	38759.077 	
114 	38772.615 	
115 	38769.692 	
116 	38777.269 	
117 	38762.538 	
118 	38761.269 	
119 	38758.5 	
120 	38762.615 	
121 	38774.962 	
122 	38746.962 	
123 	38765.692 	
124 	38755.385 	
125 	38766.808 	
126 	38770.538 	
127 	38744.192 	
128 	38757.385 	
129 	38742.808 	
130 	38764.615 	
131 	38746.692 	
132 	38753.615 	
133 	38752.154 	
134 	38765.077 	
135 	38757.115 	
136 	38780.808 	
137 	38771.115 	
138 	38773.615 	
139 	38748.769 	
140 	38746.423 	
141 	38739.423 	
142 	38754.538 	
143 	38767.423 	
144 	38760.192 	
145 	38749.923 	
146 	38765.308 	
147 	38747.808 	
148 	38752.423 	
149 	38739.846 	
150 	38746 	
151 	38761.962 	
152 	38744.615 	
153 	38754.038 	
154 	38756.654 	
155 	38744.962 	
156 	38759.115 	
157 	38754.231 	
158 	38752.577 	
159 	38750.808 	
160 	38734.769 	
161 	38756.769 	
162 	38732.577 	
163 	38750.385 	
164 	38754.346 	
165 	38756.731 	
166 	38755.538 	
167 	38744.538 	
168 	38745.423 	
169 	38754.731 	
170 	38734.462 	
171 	38760 	
172 	38743.154 	
173 	38751.038 	
174 	38761.654 	
175 	38737.154 	
176 	38741.769 	
177 	38735.192 	
178 	38736.962 	
179 	38730.923 	
180 	38739.077 	
181 	38766.462 	
182 	38738.115 	
183 	38736.269 	
184 	38748.731 	
185 	38749.692 	
186 	38746.423 	
187 	38745.154 	
188 	38745.077 	
189 	38762.423 	
190 	38750.423 	
191 	38759.654 	
192 	38741.231 	
193 	38752.577 	
194 	38738.385 	
195 	38733.5 	
196 	38727.846 	
197 	38741.5 	
198 	38730.154 	
199 	38731.462 	
200 	38745.846 	
201 	38738.385 	
202 	38732.885 	
203 	38740.231 	
204 	38743.423 	
205 	38756.038 	
206 	38737 	
207 	38737.308 	
208 	38749.731 	
209 	38740.577 	
210 	38726.577 	
211 	38746.462 	
212 	38735.962 	
213 	38731.692 	
214 	38728.269 	
215 	38735.423 	
216 	38733.231 	
217 	38739.462 	
218 	38747.577 	
219 	38739.385 	
220 	38724.808 	
221 	38729.385 	
222 	38745.577 	
223 	38737.423 	
224 	38752.346 	
225 	38723.923 	
226 	38755.269 	
227 	38730.308 	
228 	38731.846 	
229 	38736.923 	
230 	38722.885 	
231 	38734.923 	
232 	38733.038 	
233 	38739.962 	
234 	38772.5 	
235 	38734.231 	
236 	38729.269 	
237 	38722.846 	
238 	38731.654 	
239 	38726.462 	
240 	38733.615 	
241 	38727.308 	
242 	38737.115 	
243 	38718.846 	
244 	38756.308 	
245 	38729.5 	
246 	38736.423 	
247 	38739.192 	
248 	38726.885 	
249 	38733 	
250 	38721.731 	
251 	38723 	
252 	38722.346 	
253 	38718.923 	
254 	38714.346 	
255 	38742.692 	
256 	38737.231 	
257 	38738.731 	
258 	38742.231 	
259 	38757.385 	
260 	38736.769 	
261 	38744.654 	
262 	38730.038 	
263 	38720.115 	
264 	38727.692 	
265 	38726.923 	
266 	38730.769 	
267 	38730 	
268 	38727.846 	
269 	38739.038 	
270 	38730.5 	
271 	38727.538 	
272 	38725.038 	
273 	38714.885 	
274 	38707.154 	
275 	38700.269 	
276 	38717.577 	
277 	38713.385 	
278 	38716.962 	
279 	38722.538 	
280 	38719.769 	
281 	38722.385 	
282 	38736.769 	
283 	38732.231 	
284 	38709.731 	
285 	38721.462 	
286 	38721.692 	
287 	38717.846 	
288 	38717.654 	
289 	38705.385 	
290 	38727.615 	
291 	38713.462 	
292 	38722.308 	
293 	38725.615 	
294 	38727.846 	
295 	38720.808 	
296 	38720.115 	
297 	38698.154 	
298 	38728.5 	
299 	38728.115 	
300 	38723.462 	
301 	38724.385 	
302 	38714.538 	
303 	38725.731 	
304 	38717.154 	
305 	38724.269 	
306 	38724.846 	
307 	38734 	
308 	38751.5 	
309 	38740.615 	
310 	38721.654 	
311 	38711.654 	
312 	38722.269 	
313 	38725.692 	
314 	38725.962 	
315 	38720.154 	
316 	38716.115 	
317 	38711.077 	
318 	38731.269 	
319 	38704.692 	
320 	38724.269 	
321 	38700.462 	
322 	38714.038 	
323 	38711.808 	
324 	38701.654 	
325 	38726.808 	
326 	38718.577 	
327 	38725.846 	
328 	38716.077 	
329 	38702.731 	
330 	38713.538 	
331 	38707.846 	
332 	38720.577 	
333 	38715.038 	
334 	38718.769 	
335 	38710.154 	
336 	38717.038 	
337 	38716.808 	
338 	38714.5 	
339 	38700.115 	
340 	38707.962 	
341 	38718.308 	
342 	38711.038 	
343 	38705.615 	
344 	38691.346 	
345 	38704 	
346 	38717.769 	
347 	38706.115 	
348 	38697.615 	
349 	38701.154 	
350 	38694.385 	
351 	38699.077 	
352 	38716 	
353 	38722.577 	
354 	38724.962 	
355 	38702.808 	
356 	38715.038 	
357 	38731.769 	
358 	38727.038 	
359 	38725 	
360 	38707 	
361 	38697.423 	
362 	38695.769 	
363 	38706.808 	
364 	38691.462 	
365 	38697.923 	
366 	38699.654 	
367 	38712.692 	
368 	38704.115 	
369 	38698.077 	
370 	38704.192 	
371 	38704.462 	
372 	38708.269 	
373 	38725.462 	
374 	38705.462 	
375 	38706.192 	
376 	38708.269 	
377 	38708.154 	
378 	38701.731 	
379 	38716.846 	
380 	38714.846 	
381 	38707.192 	
382 	38710.308 	
383 	38721.692 	
384 	38695.5 	
385 	38697.5 	
386 	38704.154 	
387 	38703.192 	
388 	38700.192 	
389 	38694.308 	
390 	38714.038 	
391 	38694.885 	
392 	38714.962 	
393 	38701.154 	
394 	38712.654 	
395 	38700.5 	
396 	38701.462 	
397 	38720.192 	
398 	38720.038 	
399 	38713.769 	
400 	38700.308 	
401 	38710.885 	
402 	38733.654 	
403 	38715.885 	
404 	38710.808 	
405 	38699.885 	
406 	38706.769 	
407 	38721.962 	
408 	38698.385 	
409 	38703.538 	
410 	38732.769 	
411 	38700.5 	
412 	38702.308 	
413 	38707.231 	
414 	38714.731 	
415 	38706 	
416 	38706.923 	
417 	38693.769 	
418 	38704.654 	
419 	38705.077 	
420 	38711.885 	
421 	38700.923 	
422 	38705.923 	
423 	38697.808 	
424 	38692.692 	
425 	38698 	
426 	38701.885 	
427 	38702.577 	
428 	38703.808 	
429 	38693.115 	
430 	38702.962 	
431 	38699.115 	
432 	38712.615 	
433 	38697.731 	
434 	38690.5 	
435 	38698.692 	
436 	38696.5 	
437 	38706.654 	
438 	38700.346 	
439 	38710.154 	
440 	38706.731 	
441 	38694.115 	
442 	38700.846 	
443 	38704.192 	
444 	38699.885 	
445 	38692.923 	
446 	38708.692 	
447 	38697.654 	
448 	38703.923 	
449 	38706.308 	
450 	38706.077 	
451 	38692.308 	
452 	38722.654 	
453 	38702.538 	
454 	38701.308 	
455 	38690.308 	
456 	38713.654 	
457 	38714.923 	
458 	38717.231 	
459 	38713.192 	
460 	38709.615 	
461 	38693.115 	
462 	38705.692 	
463 	38694.423 	
464 	38699.615 	
465 	38690.808 	
466 	38702.769 	
467 	38700.538 	
468 	38698.923 	
469 	38704.731 	
470 	38711.154 	
471 	38692.692 	
472 	38688.731 	
473 	38697.269 	
474 	38695.731 	
475 	38684.654 	
476 	38712.385 	
477 	38687.192 	
478 	38711.846 	
479 	38707.231 	
480 	38695.538 	
481 	38702.692 	
482 	38698.038 	
483 	38698.154 	
484 	38702.885 	
485 	38693.5 	
486 	38711.538 	
487 	38694.154 	
488 	38703.923 	
489 	38693.385 	
490 	38696.462 	
491 	38710.769 	
492 	38694.769 	
493 	38697.615 	
494 	38716.692 	
495 	38698.962 	
496 	38701.231 	
497 	38704.5 	
498 	38701.462 	
499 	38699.692 	
500 	38690.846 	
501 	38689.462 	
502 	38694.385 	
503 	38687 	
504 	38701.308 	
505 	38689.385 	
506 	38713.154 	
507 	38691.654 	
508 	38702.462 	
509 	38697.654 	
510 	38710.154 	
511 	38732.115 	
512 	38700.846 	
513 	38696.385 	
514 	38709.269 	
515 	38675.577 	
516 	38692.115 	
517 	38709.462 	
518 	38708.462 	
519 	38682.885 	
520 	38686.346 	
521 	38696.808 	
522 	38685.346 	
523 	38696.231 	
524 	38707.769 	
525 	38692.154 	
526 	38679.769 	
527 	38690.769 	
528 	38702.115 	
529 	38696.269 	
530 	38713.077 	
531 	38723.385 	
532 	38681.769 	
533 	38697.692 	
534 	38694.538 	
535 	38705.885 	
536 	38704.077 	
537 	38690.846 	
538 	38704.423 	
539 	38685.346 	
540 	38703.462 	
541 	38691.692 	
542 	38698.577 	
543 	38698.231 	
544 	38681 	
545 	38691.962 	
546 	38693.038 	
547 	38706.385 	
548 	38700.692 	
549 	38690.538 	
550 	38702.038 	
551 	38691.615 	
552 	38701.154 	
553 	38699.808 	
554 	38695 	
555 	38698.231 	
556 	38700.077 	
557 	38708.115 	
558 	38702.462 	
559 	38702.962 	
560 	38712.231 	
561 	38700.115 	
562 	38720 	
563 	38699.462 	
564 	38704.346 	
565 	38703.346 	
566 	38698.038 	
567 	38693.308 	
568 	38703.615 	
569 	38681.885 	
570 	38705.846 	
571 	38685.231 	
572 	38685 	
573 	38689.462 	
574 	38692.885 	
575 	38696.923 	
576 	38697.808 	
577 	38686.692 	
578 	38701.077 	
579 	38699.038 	
580 	38695.615 	
581 	38707.923 	
582 	38710 	
583 	38685.231 	
584 	38696.885 	
585 	38678.462 	
586 	38702.231 	
587 	38689.462 	
588 	38681.923 	
589 	38701.038 	
590 	38695.5 	
591 	38683.769 	
592 	38667.308 	
593 	38704.115 	
594 	38685.731 	
595 	38685.962 	
596 	38700.962 	
597 	38691.962 	
598 	38683.538 	
599 	38698.769 	
600 	38708.038 	
601 	38687.423 	
602 	38693.923 	
603 	38677.269 	
604 	38690.923 	
605 	38685.231 	
606 	38682.769 	
607 	38698.692 	
608 	38676.423 	
609 	38695.885 	
610 	38697.115 	
611 	38676.192 	
612 	38690.346 	
613 	38685.5 	
614 	38678 	
615 	38691.731 	
616 	38690.423 	
617 	38685.5 	
618 	38676 	
619 	38689.846 	
620 	38692.692 	
621 	38682.346 	
622 	38696.269 	
623 	38711 	
624 	38694.615 	
625 	38701.923 	
626 	38707.346 	
627 	38719.769 	
628 	38696 	
629 	38673.846 	
630 	38685.346 	
631 	38678.808 	
632 	38684.269 	
633 	38689.962 	
634 	38697.731 	
635 	38692.192 	
636 	38659 	
637 	38701.654 	
638 	38689.577 	
639 	38679.615 	
640 	38676.577 	
641 	38688.462 	
642 	38702.308 	
643 	38697.962 	
644 	38684.692 	
645 	38691.231 	
646 	38685.346 	
647 	38681.308 	
648 	38693.192 	
649 	38713.808 	
650 	38684.962 	
651 	38696.808 	
652 	38676.038 	
653 	38696.192 	
654 	38695 	
655 	38686.192 	
656 	38684.654 	
657 	38690 	
658 	38674.577 	
659 	38671.038 	
660 	38686.731 	
661 	38689.462 	
662 	38680.077 	
663 	38678 	
664 	38681.577 	
665 	38692.038 	
666 	38676.692 	
667 	38674.538 	
668 	38671.269 	
669 	38690.731 	
670 	38677.654 	
671 	38678.346 	
672 	38694.692 	
673 	38683.385 	
674 	38687.154 	
675 	38691.077 	
676 	38688.731 	
677 	38685.269 	
678 	38696.846 	
679 	38672.577 	
680 	38675.423 	
681 	38686.038 	
682 	38677.654 	
683 	38696.731 	
684 	38681.423 	
685 	38671.731 	
686 	38679.115 	
687 	38690.923 	
688 	38688.308 	
689 	38676.038 	
690 	38691.769 	
691 	38687.269 	
692 	38692.269 	
693 	38728.5 	
694 	38885.385 	
695 	38983.962 	
696 	38889.269 	
697 	38734.654 	
698 	38681.654 	
699 	38698.038 	
700 	38675.538 	
701 	38684.808 	
702 	38694.654 	
703 	38694.846 	
704 	38684.385 	
705 	38686.769 	
706 	38692.038 	
707 	38671.923 	
708 	38698.346 	
709 	38779 	
710 	38931.923 	
711 	38930.654 	
712 	38785.077 	
713 	38704.154 	
714 	38698.154 	
715 	38681.962 	
716 	38677.808 	
717 	38699.923 	
718 	38680.962 	
719 	38688 	
720 	38697.808 	
721 	38680.346 	
722 	38719.923 	
723 	38682.346 	
724 	38735.538 	
725 	38904.308 	
726 	38976.077 	
727 	38821.846 	
728 	38722.538 	
729 	38680.5 	
730 	38679.231 	
731 	38690.615 	
732 	38676.846 	
733 	38680.462 	
734 	38687.962 	
735 	38687 	
736 	38691.808 	
737 	38694.577 	
738 	38670.423 	
739 	38695.115 	
740 	38744.923 	
741 	38904.308 	
742 	38944.423 	
